AttackValueHomeTeam,DefenseValueHomeTeam,ValueHomeTeam,AttackValueAwayTeam,DefenseValueAwayTeam,ValueAwayTeam,resultado,AverageGoalsInFavorHomeTeam,AverageGoalsAgainstHomeTeam,AverageGoalsInFavorAwayTeam,AverageGoalsAgainstAwayTeam,HomeWinLastFiveIndice,HomeDrawLastFiveIndice,HomeDefeatLastFiveIndice,AwayWinLastFiveIndice,AwayDrawLastFiveIndice,AwayDefeatLastFiveIndice,AttackStrengthHomeTeam,DefenseStrengthHomeTeam,StrengthHomeTeam,AttackStrengthAwayTeam,DefenseStrengthAwayTeam,StrengthAwayTeam
10.535714285714286,8.3,9.335333333333333,4.3175,6.211666666666666,5.114666666666667,1,0.6666666666666666,2.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,4.002281746031746,1.8330952380952383,2.9726666666666666,1.2413194444444444,2.375,1.6671666666666665
14.679999999999998,15.170000000000002,14.747142857142856,6.568888888888889,11.812000000000001,8.443333333333333,1,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.064384920634921,4.279999999999999,4.161380952380952,2.3342757936507934,2.115,2.118916666666667
12.26,13.276,13.00642857142857,8.754444444444445,17.984,12.224,0,2.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,3.3843749999999995,3.3783333333333334,3.4968452380952377,2.1527777777777777,6.65,3.827166666666667
6.61,9.218,7.5966666666666685,5.957500000000001,9.841666666666665,7.609333333333335,1,1.3333333333333333,2.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.8611111111111112,3.64,2.5396666666666667,1.6482638888888888,4.9025,2.838333333333334
7.471428571428571,9.344285714285714,8.427333333333333,7.542857142857143,7.293333333333333,7.317857142857143,-1,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.142113095238095,4.1571428571428575,3.091452380952381,3.0001984126984125,2.3033333333333332,2.7718928571428574
6.555000000000001,10.21,8.178666666666667,7.01111111111111,7.134,7.386,1,0.3333333333333333,1.0,2.0,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.8461805555555557,3.070833333333333,2.350297619047619,2.4902777777777776,1.6049999999999998,2.205333333333334
6.428888888888888,6.822,6.677999999999999,7.5175,7.090000000000001,7.347333333333333,0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0434027777777777,3.9208333333333334,3.4291666666666663,3.4052083333333334,1.9226190476190477,2.7975714285714286
13.36125,8.141666666666667,11.405999999999999,7.472222222222222,6.864,7.3306666666666676,1,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.7732638888888888,2.2533333333333334,3.2616666666666667,2.0428571428571427,2.469761904761905,2.203666666666667
4.146249999999999,3.6816666666666666,3.769333333333333,10.715,10.221666666666666,10.658666666666667,-1,0.0,2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,0.5128472222222221,-0.4966666666666668,0.1673333333333334,1.8996527777777776,4.55,2.8801666666666668
5.345555555555555,7.473999999999999,6.091333333333335,8.852222222222222,11.064,9.622666666666667,-1,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.8376984126984124,2.9258333333333337,2.2040357142857143,1.761111111111111,3.4325,2.378166666666667
9.934444444444443,11.855999999999998,10.426666666666666,12.144444444444444,11.331999999999999,12.301333333333332,-1,1.0,1.5,1.75,1.0,0.25,0.25,0.5,0.25,0.75,0.0,2.2563095238095237,2.124,2.1067333333333336,3.4074999999999998,4.230666666666667,3.811342857142857
7.181111111111111,17.088,10.940666666666667,3.447777777777778,4.832,3.8219999999999996,-1,1.0,0.25,0.0,2.0,0.5,0.5,0.0,0.0,0.0,1.0,1.8577777777777775,5.287999999999999,3.1388000000000003,0.5258333333333333,0.6106666666666664,0.576
10.848749999999999,7.335,9.552666666666665,6.222222222222221,11.514,8.196,-1,0.75,0.25,0.75,1.0,0.25,0.75,0.0,0.25,0.25,0.5,2.0972222222222223,3.8133333333333335,2.7157333333333336,2.2725,2.7726666666666664,2.515838095238095
7.623749999999999,7.286666666666666,7.5680000000000005,4.6475,6.353333333333333,5.406000000000001,0,1.5,1.75,0.5,1.25,0.25,0.25,0.5,0.0,0.25,0.75,1.9792857142857145,2.632476190476191,2.250266666666667,1.6801587301587297,2.704,2.0438952380952378
11.855000000000002,10.236666666666666,11.281333333333334,6.5649999999999995,11.568333333333333,8.735999999999999,1,1.75,1.5,0.5,0.75,0.5,0.25,0.25,0.0,0.75,0.25,3.024722222222222,1.8106666666666666,2.5948,2.296190476190476,3.772380952380953,3.0070285714285716
5.442500000000001,5.908333333333332,5.672666666666666,6.15625,6.52,6.501333333333334,-1,1.25,1.25,1.5,1.5,0.25,0.5,0.25,0.5,0.0,0.5,2.8566666666666665,1.7414285714285715,2.4039238095238096,1.6388888888888888,4.368666666666667,2.754666666666667
9.41777777777778,12.362,10.427333333333335,12.81111111111111,13.852,13.113999999999999,1,1.0,0.75,1.75,0.5,0.5,0.25,0.25,0.75,0.0,0.25,1.5466666666666664,4.418000000000001,2.600666666666667,3.4203968253968258,3.312,3.3989714285714285
6.11142857142857,7.590000000000002,6.805999999999999,11.12,8.358,10.477333333333332,0,0.5,2.25,1.75,1.0,0.25,0.0,0.75,0.75,0.25,0.0,1.201626984126984,3.048571428571429,2.0246666666666666,3.131944444444444,2.9506666666666668,3.1009333333333338
8.402222222222223,11.629999999999999,9.432666666666668,7.45875,5.7299999999999995,6.838666666666667,0,0.8,1.6,1.0,0.8,0.2,0.2,0.6,0.4,0.2,0.4,2.525198412698413,1.2619999999999998,2.0290285714285714,3.3791666666666664,4.0840000000000005,3.6712666666666665
10.862222222222222,9.192000000000002,10.443999999999999,11.673333333333336,9.598,11.356,1,1.4,0.6,1.8,0.8,0.6,0.0,0.4,0.4,0.6,0.0,3.6603968253968255,2.272,3.177904761904762,2.8477777777777775,1.7426666666666666,2.4410761904761906
8.76,16.812,11.800666666666668,5.304444444444445,7.514,6.248666666666667,0,0.8,0.4,1.4,1.6,0.4,0.4,0.2,0.2,0.4,0.4,1.911111111111111,3.8560000000000003,2.6530666666666667,2.030396825396825,1.9138095238095238,1.9578666666666666
6.303333333333334,8.61,7.3,2.7344444444444447,4.3759999999999994,3.228,1,1.4,1.2,0.2,1.6,0.6,0.0,0.4,0.2,0.0,0.8,1.6855555555555555,4.948666666666666,2.9977333333333336,0.4458333333333333,0.7866666666666664,0.5876000000000001
7.019999999999999,10.226666666666668,8.433333333333334,7.2225,5.153333333333333,6.907333333333331,0,0.8,1.2,1.4,0.8,0.0,0.6,0.4,0.6,0.4,0.0,2.1853571428571428,3.0614285714285714,2.5556,2.9211111111111108,1.7826666666666664,2.49
9.93222222222222,10.09,10.263333333333337,6.97111111111111,7.516,7.073333333333333,1,2.0,1.6,1.2,0.8,0.6,0.2,0.2,0.6,0.2,0.2,3.3625,3.2346666666666666,3.3337333333333334,3.1584920634920635,1.8059999999999996,2.646580952380952
7.047499999999999,5.928333333333334,6.5440000000000005,6.702222222222223,7.1,6.987333333333334,-1,1.0,1.2,1.0,1.0,0.2,0.4,0.4,0.4,0.2,0.4,3.219166666666667,1.348095238095238,2.4416571428571427,2.353333333333333,1.7326666666666668,2.1586666666666665
9.922222222222224,11.636,10.514666666666667,7.082222222222222,5.798,6.666666666666668,1,1.0,0.6,1.6,1.6,0.6,0.2,0.2,0.2,0.2,0.6,2.222222222222222,4.590000000000001,3.1053333333333333,3.809047619047618,1.4031428571428572,2.7432666666666665
6.5625,7.383333333333333,6.950666666666666,5.877777777777777,7.536,6.455333333333333,1,0.4,1.8,0.6,1.2,0.2,0.2,0.6,0.0,0.4,0.6,1.7991269841269841,4.088571428571429,2.8261333333333334,1.9334920634920632,2.016,1.9596285714285713
5.051111111111112,9.399999999999999,6.684666666666667,9.112222222222222,9.578,9.506666666666666,0,0.8,0.4,0.8,0.6,0.6,0.2,0.2,0.2,0.6,0.2,1.8452777777777776,4.08,2.6728,1.9905555555555559,3.708666666666667,2.6385333333333336
6.31375,5.08,5.860666666666669,7.082222222222223,7.18,7.064666666666667,0,1.5,1.6666666666666667,1.1666666666666667,1.5,0.2,0.2,0.6,0.2,0.4,0.4,2.895833333333333,1.457904761904762,2.312733333333333,2.1158333333333337,1.4714285714285713,1.845390476190476
6.508888888888888,6.613999999999999,6.462666666666666,10.42625,14.256666666666668,12.246666666666666,-1,1.0,1.0,0.8333333333333334,0.5,0.6,0.0,0.4,0.4,0.4,0.2,2.024047619047619,0.9913333333333328,1.715647619047619,2.716388888888889,1.996,2.4202666666666666
12.26,14.76,13.534285714285714,8.755555555555555,11.319999999999999,9.686000000000002,1,1.8333333333333333,1.5,1.1666666666666667,0.6666666666666666,0.2,0.6,0.2,0.8,0.2,0.0,2.4677777777777776,3.1439999999999997,2.7613904761904764,2.1577777777777776,4.704,3.1228000000000002
5.416249999999999,9.453333333333333,7.520666666666666,6.13375,9.513333333333334,7.638000000000001,0,1.0,0.8333333333333334,0.8333333333333334,1.5,0.2,0.6,0.2,0.2,0.2,0.6,2.481388888888889,3.618,2.9716,2.3730555555555553,2.578666666666666,2.5301809523809524
