"id","apelido","posicao_id"
"50427","Kadu","3"
"69006","Dão","3"
"85067","Matheus Salustiano","3"
"72133","Ednei","3"
"81543","Josué","3"
"73423","Rodrigo Defendi","3"
"86861","Vinicius","3"
"86502","Jonathan Ferrari","3"
"38425","Fábio Ferreira","3"
"68950","Ronaldo Alves","3"
"51194","Rafael Pereira","3"
"78414","Rafael Donato","3"
"68738","Eli Sabiá","3"
"83108","Heitor","3"
"80779","Joílson","3"
"68908","Gualberto","3"
"89226","Iago","3"
"38990","Alcides","3"
"68746","Sergio Escudero","3"
"85399","Felipe Macedo","3"
"70934","Jackson","3"
"71038","Pedro Henrique","3"
"80036","Alex Alves","3"
"73760","Wallinson","3"
"63031","Valmir Lucas","3"
"38100","Durval","3"
"71593","Henrique Mattos","3"
"89494","Leandro Vicentin","3"
"72039","Ferron","3"
"78422","Oswaldo","3"
"88670","Hyago","3"
"80281","Cleberson","3"
"78990","Lucas Alves","3"
"37840","Gustavo","3"
"79334","Ricardo Silva","3"
"83528","Léo Pereira","3"
"78648","Dráusio","3"
"82459","Rafael Zuchi","3"
"82458","Erwin","3"
"68827","Renato Chaves","3"
"86761","Gerson","3"
"86762","Tárik","3"
"63005","Welinton","3"
"50446","Chico","3"
"80441","Bonfim ","3"
"50462","Leandro Almeida","3"
"86587","Igor Leandro","3"
"73465","Luccas Claro","3"
"50361","Rafael Lima","3"
"78407","Douglas Grolli","3"
"42247","Danny Morais","3"
"80324","Jaílton","3"
"68946","Neuton","3"
"79287","Enrique Meza","3"
"87200","Bruno ","3"
"87201","Igor ","3"
"54189","Tiago Saletti","3"
"83522","Fagner Alemão","3"
"51168","André Paulino","3"
"69049","Leandro Amaro","3"
"80319","Raul","3"
"38394","Thiago Heleno","3"
"73620","Bruno Alves","3"
"83920","Wellington Neto","3"
"38515","Marquinhos","3"
"62971","Nirley","3"
"69268","Víctor Cáceres","4"
"38311","Márcio Araújo","4"
"81121","Mugni","4"
"73918","Canteros","4"
"50301","Everton","4"
"84320","Recife","4"
"72071","Amaral","4"
"79023","Mattheus","4"
"74060","Luiz Antonio ","4"
"73515","Gabriel","4"
"72768","Muralha","4"
"37917","Elano","4"
"50369","Carlos Eduardo","4"
"82503","Rodolfo","4"
"37652","Carlos Alberto","4"
"69232","Bolatti","4"
"81007","Dedé","4"
"82472","Fabiano","4"
"85629","Daniel","4"
"86836","Sidney","4"
"71560","Luis Ramírez","4"
"37645","Marcelo Mattos","4"
"78605","Gabriel","4"
"73454","Cidinho","4"
"73851","Ronny","4"
"37678","Rodrigo Souto","4"
"89253","Andreazzi","4"
"88849","João Gabriel ","4"
"61985","Airton","4"
"82474","Gegê","4"
"37795","Jorge Wagner","4"
"89885","Leandro","4"
"38398","Renato Augusto","4"
"52190","Ralf","4"
"38315","Jadson","4"
"78891","Petros","4"
"54395","Elias","4"
"82128","Ferrugem","4"
"69304","Lodeiro","4"
"38067","Danilo","4"
"70944","Bruno Henrique","4"
"71636","Guilherme","4"
"78478","Willian Arão","4"
"87226","Fabiano","4"
"80330","Jocinei","4"
"41364","Lincoln","4"
"63003","Uelliton","4"
"38507","Rafael Miranda","4"
"53472","Fahel","4"
"84313","Feijão","4"
"88933","Bruno Paulista","4"
"88000","Gabriel Ramos","4"
"84679","Emanuel Biancucchi","4"
"50961","Léo Gago","4"
"89371","Rômulo","4"
"69186","Branquinho","4"
"84314","Ítalo Melo","4"
"80456","Diego Felipe","4"
"84099","Anderson Talisca","4"
"79044","Wangler","4"
"84312","Anderson Mello","4"
"73530","Wilson Pittoni","4"
"37627","Diguinho","4"
"68711","Chiquinho","4"
"80538","Marlon","4"
"37674","Wagner","4"
"50348","Conca","4"
"87999","Gustavo Scarpa","4"
"80400","Rafinha","4"
"37688","Cícero","4"
"80370","Edson","4"
"78464","Fábio Braga","4"
"85121","Robert ","4"
"62047","Jean","4"
"68824","Raphael Augusto","4"
"89256","Gerson","4"
"50417","Valencia","4"
"73353","Eduardo","4"
"77994","Mendieta","4"
"77673","Patrick Vieira","4"
"68697","Bernardo","4"
"88866","Eduardo Junior","4"
"78546","Bruninho","4"
"50421","Wesley","4"
"73531","Washington","4"
"69292","Eguren","4"
"38435","Valdivia","4"
"50328","Marcelo Oliveira","4"
"89677","Fernandinho","4"
"84585","Allione","4"
"50295","Felipe Menezes","4"
"52558","Bruno César","4"
"89285","Matheus Sales","4"
"80576","Renato","4"
"72167","Mazinho","4"
"68951","Josimar","4"
"68954","Marquinhos Gabriel","4"
"72159","Serginho","4"
"38919","Kaká","4"
"38196","Maicon","4"
"38064","Denilson","4"
"62977","Paulo Henrique Ganso","4"
"86841","Boschilia","4"
"60803","Souza","4"
"84674","Lucas Evangelista","4"
"77777","João Schmidt ","4"
"50324","Hudson","4"
"68922","Fabrício","4"
"73673","Cañete","4"
"80583","Lucas Lima","4"
"88002","Serginho","4"
"70132","Alan Santos","4"
"78235","Leandrinho","4"
"89637","Thiago Maia","4"
"38908","Renato","4"
"68909","Souza","4"
"37718","Arouca","4"
