"atleta_id","clube_id","idTemporada"
"78850","276",1
"69308","276",1
"37607","276",1
"55348","276",1
"88540","276",1
"69153","276",1
"68728","276",1
"80660","276",1
"70046","277",1
"77967","277",1
"89342","277",1
"61106","277",1
"88225","277",1
"73617","277",1
"87192","277",1
"73962","277",1
"84861","282",1
"79826","282",1
"70317","282",1
"77895","282",1
"51779","282",1
"63013","282",1
"80664","282",1
"37790","283",1
"81150","283",1
"42145","283",1
"86411","283",1
"73708","283",1
"69090","284",1
"86748","284",1
"62086","284",1
"70010","284",1
"89343","284",1
"80570","284",1
"82628","284",1
"74074","285",1
"85882","285",1
"80313","285",1
"71892","285",1
"63110","285",1
"49674","285",1
"37705","287",1
"38069","287",1
"86860","287",1
"79553","287",1
"77599","287",1
"72334","287",1
"84890","287",1
"68808","287",1
"71575","287",1
"72079","288",1
"72097","288",1
"50645","288",1
"80431","288",1
"70915","288",1
"84545","288",1
"73879","288",1
"80318","288",1
"89896","288",1
"63283","290",1
"89606","290",1
"72495","290",1
"73417","290",1
"71146","290",1
"73890","290",1
"71037","290",1
"84382","292",1
"68904","292",1
"60969","292",1
"82635","292",1
"78445","292",1
"62070","292",1
"87399","293",1
"73527","293",1
"72023","293",1
"82457","293",1
"86409","293",1
"86264","293",1
"86764","293",1
"86763","293",1
"61211","293",1
"69782","294",1
"83258","294",1
"79401","294",1
"63194","294",1
"73644","294",1
"69155","294",1
"86820","294",1
"60858","294",1
"73857","294",1
"78423","294",1
"86969","294",1
"70916","294",1
"84860","294",1
"79594","315",1
"82525","315",1
"79030","315",1
"79887","315",1
"80164","315",1
"62976","315",1
"68702","315",1
"80553","316",1
"83811","316",1
"77529","316",1
"69329","316",1
"80552","316",1
"37610","316",1
"72281","316",1
"38026","316",1
"89977","316",1
"84318","262",1
"78895","262",1
"81223","262",1
"78646","262",1
"37684","262",1
"68958","262",1
"74103","262",1
"71122","263",1
"38370","263",1
"79339","263",1
"89493","263",1
"78946","263",1
"87185","263",1
"37789","263",1
"87225","264",1
"68923","264",1
"73375","264",1
"52618","264",1
"86143","264",1
"72376","264",1
"68723","265",1
"80189","265",1
"87230","265",1
"50353","265",1
"39137","265",1
"82547","265",1
"71618","265",1
"68887","266",1
"68753","266",1
"70111","266",1
"38365","266",1
"74059","266",1
"79045","266",1
"68888","266",1
"69088","275",1
"73910","275",1
"89156","275",1
"88368","275",1
"83615","275",1
"41519","275",1
"68907","275",1
"51495","275",1
"63008","276",1
"68817","276",1
"73800","276",1
"38194","276",1
"84554","276",1
"71507","276",1
"69008","277",1
"78248","277",1
"73855","277",1
"37657","277",1
"70045","277",1
"70221","277",1
"88132","277",1
"50317","277",1
"88224","277",1
"84263","282",1
"51299","282",1
"79042","282",1
"87393","282",1
"52253","282",1
"68925","282",1
"38061","282",1
"69219","282",1
"87229","282",1
"51705","283",1
"50459","283",1
"69014","283",1
"60819","283",1
"87400","283",1
"50439","283",1
"84262","283",1
"72491","284",1
"68945","284",1
"71572","284",1
"86744","284",1
"62974","284",1
"42501","284",1
"80853","284",1
"83048","284",1
"36728","285",1
"63172","285",1
"49651","285",1
"36540","285",1
"82613","285",1
"82626","285",1
"51415","287",1
"74014","287",1
"80573","287",1
"50427","287",1
"69006","287",1
"85067","287",1
"72133","287",1
"81543","287",1
"73423","287",1
"86861","287",1
"86502","287",1
"38425","288",1
"68950","288",1
"51194","288",1
"78414","288",1
"68738","288",1
"83108","288",1
"80779","288",1
"68908","288",1
"89226","288",1
"38990","288",1
"68746","288",1
"85399","290",1
"70934","290",1
"71038","290",1
"80036","290",1
"73760","290",1
"63031","290",1
"38100","292",1
"71593","292",1
"89494","292",1
"72039","292",1
"78422","292",1
"88670","292",1
"80281","293",1
"78990","293",1
"37840","293",1
"79334","293",1
"83528","293",1
"78648","293",1
"82459","293",1
"82458","293",1
"68827","293",1
"86761","293",1
"86762","293",1
"63005","294",1
"50446","294",1
"80441","294",1
"50462","294",1
"86587","294",1
"73465","294",1
"50361","315",1
"78407","315",1
"42247","315",1
"80324","315",1
"68946","315",1
"79287","315",1
"87200","315",1
"87201","315",1
"54189","315",1
"83522","315",1
"51168","315",1
"69049","315",1
"80319","316",1
"38394","316",1
"73620","316",1
"83920","316",1
"38515","316",1
"62971","316",1
"69268","262",1
"38311","262",1
"81121","262",1
"73918","262",1
"50301","262",1
"84320","262",1
"72071","262",1
"79023","262",1
"74060","262",1
"73515","262",1
"72768","262",1
"37917","262",1
"50369","262",1
"82503","262",1
"37652","263",1
"69232","263",1
"81007","263",1
"82472","263",1
"85629","263",1
"86836","263",1
"71560","263",1
"37645","263",1
"78605","263",1
"73454","263",1
"73851","263",1
"37678","263",1
"89253","263",1
"88849","263",1
"61985","263",1
"82474","263",1
"37795","263",1
"89885","263",1
"38398","264",1
"52190","264",1
"38315","264",1
"78891","264",1
"54395","264",1
"82128","264",1
"69304","264",1
"38067","264",1
"70944","264",1
"71636","264",1
"78478","264",1
"87226","264",1
"80330","264",1
"41364","265",1
"63003","265",1
"38507","265",1
"53472","265",1
"84313","265",1
"88933","265",1
"88000","265",1
"84679","265",1
"50961","265",1
"89371","265",1
"69186","265",1
"84314","265",1
"80456","265",1
"84099","265",1
"79044","265",1
"84312","265",1
"73530","265",1
"37627","266",1
"68711","266",1
"80538","266",1
"37674","266",1
"50348","266",1
"87999","266",1
"80400","266",1
"37688","266",1
"80370","266",1
"78464","266",1
"85121","266",1
"62047","266",1
"68824","266",1
"89256","266",1
"50417","266",1
"73353","266",1
"77994","275",1
"77673","275",1
"68697","275",1
"88866","275",1
"78546","275",1
"50421","275",1
"73531","275",1
"69292","275",1
"38435","275",1
"50328","275",1
"89677","275",1
"84585","275",1
"50295","275",1
"52558","275",1
"89285","275",1
"80576","275",1
"72167","275",1
"68951","275",1
"68954","275",1
"72159","275",1
"38919","276",1
"38196","276",1
"38064","276",1
"62977","276",1
"86841","276",1
"60803","276",1
"84674","276",1
"77777","276",1
"50324","276",1
"68922","276",1
"73673","276",1
"80583","277",1
"88002","277",1
