"id","rodada","clube_casa_id","clube_visitante_id","placar_oficial_mandante","placar_oficial_visitante","idTemporada"
625,"25","284","276","1","2",2
626,"25","292","266","1","0",2
627,"25","294","285","0","1",2
628,"25","303","277","3","1",2
629,"25","314","290","2","1",2
630,"25","315","262","1","3",2
631,"26","262","294","0","2",2
632,"26","266","275","1","4",2
633,"26","276","315","0","0",2
634,"26","277","282","4","0",2
635,"26","283","267","2","2",2
636,"26","285","264","2","1",2
637,"26","290","303","1","2",2
638,"26","293","284","1","2",2
639,"26","316","314","0","1",2
640,"26","317","292","1","1",2
641,"27","264","277","2","0",2
642,"27","267","292","2","1",2
643,"27","275","284","3","2",2
644,"27","282","262","4","1",2
645,"27","285","316","1","1",2
646,"27","290","317","3","0",2
647,"27","294","293","2","0",2
648,"27","303","266","3","1",2
649,"27","314","276","2","1",2
650,"27","315","283","0","2",2
651,"28","262","267","1","2",2
652,"28","266","290","2","0",2
653,"28","276","275","1","1",2
654,"28","277","285","3","1",2
655,"28","283","294","2","0",2
656,"28","284","314","3","1",2
657,"28","292","315","3","0",2
658,"28","293","303","1","2",2
659,"28","316","264","1","3",2
660,"28","317","282","2","2",2
661,"29","262","317","2","0",2
662,"29","276","293","1","0",2
663,"29","277","266","3","1",2
664,"29","283","284","0","0",2
665,"29","285","292","2","1",2
666,"29","290","316","2","3",2
667,"29","294","282","0","3",2
668,"29","303","264","2","2",2
669,"29","314","267","1","1",2
670,"29","315","275","5","1",2
671,"30","264","290","3","0",2
672,"30","266","276","2","0",2
673,"30","267","315","1","1",2
674,"30","275","303","0","1",2
675,"30","282","285","2","1",2
676,"30","284","277","1","0",2
677,"30","292","314","3","0",2
678,"30","293","283","2","2",2
679,"30","316","262","3","0",2
680,"30","317","294","3","1",2
681,"31","262","285","0","1",2
682,"31","276","267","2","2",2
683,"31","277","290","3","1",2
684,"31","283","266","2","0",2
685,"31","284","315","2","3",2
686,"31","292","282","4","1",2
687,"31","293","264","1","4",2
688,"31","303","294","3","0",2
689,"31","314","275","1","3",2
690,"31","317","316","1","0",2
691,"32","264","262","1","0",2
692,"32","266","293","0","1",2
693,"32","267","284","0","0",2
694,"32","275","292","0","2",2
695,"32","282","303","2","1",2
696,"32","285","317","1","0",2
697,"32","290","283","0","1",2
698,"32","294","276","1","2",2
699,"32","315","314","0","0",2
700,"32","316","277","0","0",2
701,"33","267","266","0","1",2
702,"33","276","292","3","0",2
703,"33","277","275","2","1",2
704,"33","282","264","0","3",2
705,"33","284","262","2","0",2
706,"33","290","285","2","1",2
707,"33","294","316","1","1",2
708,"33","303","317","1","0",2
709,"33","314","283","1","1",2
710,"33","315","293","0","0",2
711,"34","262","290","4","1",2
712,"34","264","294","2","1",2
713,"34","266","315","2","3",2
714,"34","275","267","0","2",2
715,"34","283","276","2","1",2
716,"34","285","303","1","0",2
717,"34","292","284","1","0",2
718,"34","293","314","2","1",2
719,"34","316","282","0","1",2
720,"34","317","277","0","0",2
721,"35","267","264","1","1",2
722,"35","276","282","4","2",2
723,"35","277","262","0","0",2
724,"35","283","292","3","0",2
725,"35","284","266","1","0",2
726,"35","290","294","1","3",2
727,"35","293","275","3","3",2
728,"35","303","316","0","1",2
729,"35","314","317","2","1",2
730,"35","315","285","1","0",2
731,"36","262","303","1","1",2
732,"36","264","276","6","1",2
733,"36","266","314","3","1",2
734,"36","275","283","1","1",2
735,"36","282","290","2","2",2
736,"36","285","284","1","0",2
737,"36","292","293","0","0",2
738,"36","294","277","1","0",2
739,"36","316","315","0","0",2
740,"36","317","267","1","2",2
741,"37","266","285","1","1",2
742,"37","267","277","1","0",2
743,"37","275","294","0","2",2
744,"37","276","316","3","2",2
745,"37","283","317","3","0",2
746,"37","284","282","2","1",2
747,"37","292","264","2","0",2
748,"37","293","262","3","0",2
749,"37","314","303","1","0",2
750,"37","315","290","1","3",2
751,"38","262","275","1","2",2
752,"38","264","314","1","1",2
753,"38","277","293","5","1",2
754,"38","282","315","3","0",2
755,"38","285","283","2","0",2
756,"38","290","276","0","1",2
757,"38","294","267","0","0",2
758,"38","303","292","0","1",2
759,"38","316","266","1","0",2
760,"38","317","284","0","2",2
761,"1","262","292","1","0",3
762,"1","263","276","0","1",3
763,"1","264","284","0","0",3
764,"1","275","293","4","0",3
765,"1","282","277","1","0",3
766,"1","285","315","0","0",3
767,"1","294","283","1","0",3
768,"1","316","303","0","0",3
769,"1","327","266","0","1",3
770,"1","344","287","4","1",3
771,"2","266","344","2","2",3
772,"2","276","285","1","2",3
773,"2","277","294","2","1",3
774,"2","283","316","2","2",3
775,"2","284","262","1","0",3
776,"2","287","264","3","2",3
777,"2","292","263","1","1",3
778,"2","293","282","1","1",3
779,"2","303","275","2","1",3
780,"2","315","327","3","1",3
781,"3","262","315","2","2",3
782,"3","263","293","2","1",3
783,"3","264","303","3","0",3
784,"3","275","266","2","0",3
785,"3","282","284","0","3",3
786,"3","285","292","1","0",3
787,"3","294","276","1","1",3
788,"3","316","277","2","2",3
789,"3","327","287","1","1",3
790,"3","344","283","4","1",3
791,"4","266","263","1","0",3
792,"4","276","275","1","0",3
793,"4","277","285","0","1",3
794,"4","283","327","1","1",3
795,"4","284","294","2","0",3
796,"4","287","282","1","1",3
797,"4","292","264","0","2",3
798,"4","293","316","2","1",3
799,"4","303","262","1","2",3
800,"4","315","344","1","1",3
801,"5","262","287","1","0",3
802,"5","263","283","0","1",3
803,"5","264","277","1","0",3
804,"5","275","284","4","3",3
805,"5","282","266","1","1",3
806,"5","285","293","1","0",3
807,"5","294","315","3","4",3
808,"5","316","276","1","0",3
809,"5","327","303","1","2",3
810,"5","344","292","0","1",3
811,"6","262","275","1","2",3
812,"6","264","294","2","1",3
813,"6","277","263","3","0",3
814,"6","283","276","0","1",3
815,"6","284","303","1","0",3
816,"6","287","285","1","0",3
817,"6","292","282","4","4",3
818,"6","293","344","1","0",3
819,"6","315","266","0","0",3
820,"6","327","316","1","0",3
821,"7","263","287","1","1",3
822,"7","266","284","1","1",3
823,"7","275","264","1","0",3
824,"7","276","293","1","2",3
825,"7","282","283","2","3",3
826,"7","285","327","3","1",3
827,"7","294","292","3","2",3
828,"7","303","315","2","1",3
829,"7","316","262","1","0",3
830,"7","344","277","0","2",3
831,"8","263","327","3","1",3
832,"8","266","264","1","0",3
833,"8","276","287","2","0",3
834,"8","277","292","2","0",3
835,"8","283","262","0","1",3
836,"8","285","282","2","0",3
837,"8","294","275","2","2",3
838,"8","303","293","3","2",3
839,"8","315","284","3","3",3
840,"8","344","316","1","0",3
841,"9","262","276","2","2",3
842,"9","264","263","3","1",3
843,"9","275","344","3","1",3
844,"9","282","303","3","0",3
845,"9","284","283","2","0",3
846,"9","287","315","1","2",3
847,"9","292","266","2","1",3
848,"9","293","277","1","0",3
849,"9","316","285","3","2",3
850,"9","327","294","2","1",3
851,"10","263","316","0","0",3
852,"10","266","277","2","4",3
853,"10","275","327","2","0",3
854,"10","276","292","0","0",3
855,"10","282","264","2","1",3
856,"10","284","287","1","2",3
857,"10","294","285","1","1",3
858,"10","303","283","0","4",3
859,"10","315","293","0","0",3
860,"10","344","262","0","1",3
861,"11","262","266","1","2",3
862,"11","264","344","2","1",3
863,"11","277","276","3","0",3
864,"11","283","275","2","1",3
865,"11","285","263","2","3",3
866,"11","287","303","1","1",3
867,"11","292","315","5","1",3
868,"11","293","284","2","0",3
869,"11","316","294","0","0",3
870,"11","327","282","0","1",3
871,"12","262","285","1","0",3
872,"12","275","316","4","0",3
873,"12","276","266","2","1",3
874,"12","282","263","5","3",3
875,"12","284","277","3","2",3
876,"12","287","292","3","2",3
877,"12","294","293","1","0",3
878,"12","315","283","3","2",3
879,"12","327","264","0","2",3
880,"12","344","303","0","3",3
881,"13","263","344","2","1",3
882,"13","264","262","4","0",3
883,"13","266","294","0","0",3
884,"13","277","315","3","0",3
885,"13","283","287","2","2",3
886,"13","285","284","0","1",3
887,"13","292","275","1","3",3
888,"13","293","327","1","0",3
889,"13","303","276","1","0",3
890,"13","316","282","1","1",3
891,"14","262","282","2","0",3
